Compétence Visée;Compétences Acquises;Méthode d'apprentissage;Niveau
Protocols and communication;;;;
Understand and master the new mobile networks technologies;+ Capable de cromprendre les différents caractéristiques des différents protocoles de communication mobile comme LoRa, SiGFox ou ZigBee|+ Capable de choisir le protocole le plus adapté à un problème posé;Formation Initiale;3;
Be able to analyse and evaluate protocoles dedicated to Wireless Sensor Networks / IoT;+ Capable d'identifier et classer les différent protocoles MAC dédiés aux WSN basé sur leurs caractéristiques|+ Comprend les enjeux dérière ces protocoles comme la réduction de la consommation d'énergie|+ Capable de choisir un protocole en fonction du problème mais également en fonction des ressources disponibles;Formation Initiale;4;
Understand and master the fundamentals of emerging network paradigms applied to IoT;+ Comprend les principes de base des paradigmes des réseaux émergents tels que SDN, les réseaux virtuels el le multi-couche;Formation Initiale;3;
Understand and master the optimisation of IoT communication protocols at MAC level;+ Comprend l'importance et l'influence du protocole MAC sur des enjeux important de l'IoT tels que la consommation d'énergie, la sécurité ou la localisation;Formation Initiale;3;
Understand and master the security mechanismes of IoT communication protocols;+ Comprend les problème en termes de sécurité des réseaux IoT et sait mettre en place des solutions afin d'améliorer la sécurité d'un réseau;Formation Initiale;3;
Mastering the architecture of an energy management system, simple storage, energy recovery, know how to size the storage element according to the specifications;+ Comprend l'architecture de différente forme de stockage et de système de récupération d'énergie|+ Capable de faire un choix parmis des composant donnés en fonction des besoins du système;Formation Initiale;3;
